dates,satname,nzd0014-0000,nzd0014-0001
1999-08-17 22:10:26.276000,L7,332.78,302.41
1999-10-04 22:10:38.131000,L7,379.35,394.94
2000-03-28 22:10:07.233000,L7,380.36,353.78
2000-04-29 22:09:53.797000,L7,240.10,284.78
2000-08-03 22:08:44.137000,L7,248.14,254.76
2000-08-19 22:08:38.248000,L7,422.02,521.33
2000-09-04 22:08:22.800000,L7,420.29,431.67
2000-09-20 22:08:03.348000,L7,332.30,315.34
2000-10-06 22:07:59.689000,L7,253.45,315.19
2000-11-07 22:07:53.532000,L7,385.17,410.89
2001-02-27 22:07:54.461000,L7,334.92,339.74
2001-06-03 22:07:16.736000,L7,341.35,328.45
2001-06-19 22:07:05.722000,L7,480.89,488.66
2001-09-07 22:06:11.116000,L7,328.10,351.35
2001-11-26 22:06:09.518000,L7,443.89,462.88
2001-12-12 22:06:14.960000,L7,311.62,316.64
2001-12-28 22:06:14.106000,L7,377.05,390.36
2002-01-29 22:06:21.478000,L7,386.56,492.06
2002-02-14 22:06:29.522000,L7,279.34,283.94
2002-03-18 22:06:22.131000,L7,331.39,425.30
2002-06-22 22:06:03.573000,L7,553.04,432.09
2002-07-08 22:06:00.488000,L7,379.34,402.39
2002-07-24 22:05:50.655000,L7,343.20,303.83
2002-08-09 22:05:46.029000,L7,397.50,570.46
2002-10-28 22:05:22.323000,L7,335.93,341.30
2002-12-31 22:05:56.221000,L7,468.36,455.18
2003-04-22 22:06:19.091000,L7,,283.36
2003-05-08 22:06:20.773000,L7,393.30,500.67
2003-05-24 22:06:17.162000,L7,344.98,300.22
2003-10-23 21:55:36.755000,L5,386.14,382.55
2003-12-26 21:56:18.593000,L5,,352.75
2004-05-18 21:58:14.785000,L5,350.56,343.12
2004-08-22 22:00:48.706000,L5,331.59,329.75
2005-01-13 22:03:41.143000,L5,336.80,335.08
2005-02-14 22:04:09.465000,L5,343.70,349.80
2005-03-02 22:04:24.338000,L5,330.61,346.95
2005-04-03 22:04:40.528000,L5,368.55,356.72
2005-04-19 22:04:43.597000,L5,373.95,357.56
2005-06-06 22:05:05.724000,L5,322.64,319.50
2005-08-25 22:05:41.221000,L5,340.80,338.25
2005-09-26 22:05:42.687000,L5,364.17,356.29
2006-02-17 22:08:11.136000,L5,328.78,333.74
2006-04-06 22:09:08.139000,L5,292.98,273.73
2006-05-08 22:09:38.251000,L5,316.59,317.82
2006-07-11 22:10:34.443000,L5,333.20,336.11
2006-08-12 22:10:59.603000,L5,318.08,316.61
2007-01-03 22:12:49.248000,L5,271.65,286.32
2007-01-19 22:12:30.924000,L5,300.12,263.38
2007-10-02 22:10:31.289000,L5,362.07,353.67
2008-11-21 22:01:05.982000,L5,358.21,353.19
2009-01-24 22:02:55.057000,L5,337.17,335.02
2010-01-27 22:08:26.527000,L5,374.24,371.42
2010-02-12 22:08:30.110000,L5,369.92,360.43
2010-11-27 22:07:24.215000,L5,331.08,334.85
2011-01-14 22:07:31.728000,L5,408.07,405.08
2011-02-15 22:07:34.670000,L5,410.04,398.66
2011-09-11 22:06:09.236000,L5,335.56,337.62
2013-04-25 22:19:21.025000,L8,353.77,370.83
2013-05-11 22:19:31.249000,L8,350.14,358.02
2013-06-28 22:19:33.252000,L8,338.19,347.01
2013-07-14 22:19:34.707000,L8,338.69,346.21
2013-08-31 22:19:38.558000,L8,336.48,334.41
2013-10-02 22:19:28.820000,L8,339.08,343.06
2013-10-18 22:19:25.762000,L8,347.06,356.09
2014-02-23 22:18:20.398000,L8,348.55,355.69
2014-03-27 22:17:50.001000,L8,467.58,353.40
2014-04-12 22:17:37.464000,L8,417.79,361.67
2014-05-14 22:17:08.923000,L8,347.21,356.47
2014-05-30 22:17:11.184000,L8,406.80,384.38
2014-07-01 22:17:22.417000,L8,352.04,360.13
2014-07-17 22:17:28.260000,L8,342.26,348.27
2014-09-19 22:17:42.798000,L8,332.19,321.92
2015-01-25 22:17:32.812000,L8,398.64,390.98
2015-02-26 22:17:23.009000,L8,352.39,357.40
2015-06-02 22:16:44.532000,L8,336.52,334.76
2015-07-20 22:17:10.706000,L8,351.47,356.80
2015-08-05 22:17:13.094000,L8,340.68,341.70
2015-10-08 22:17:36.852000,L8,332.75,331.10
2015-10-24 22:17:40.820000,L8,345.19,349.26
2015-12-11 22:17:42.627000,L8,345.97,351.95
2015-12-27 22:17:43.409000,L8,347.91,354.74
2016-01-12 22:17:40.472000,L8,361.21,399.30
2016-04-01 22:17:14.685000,L8,345.08,348.49
2016-08-07 22:17:37.552000,L8,334.57,325.10
2016-09-08 22:17:48.858000,L8,337.71,339.39
2016-09-24 22:17:49.840000,L8,348.01,352.33
2016-10-10 22:17:54.274000,L8,348.49,351.56
2017-01-30 22:17:38.957000,L8,352.38,356.02
2017-03-03 22:17:25.727000,L8,324.06,319.60
2017-04-20 22:16:59.468000,L8,347.12,353.66
2017-06-07 22:17:15.240000,L8,345.97,357.87
2017-07-09 22:17:23.906000,L8,341.70,344.93
2017-09-27 22:17:48.664000,L8,347.63,353.12
2017-10-29 22:17:53.844000,L8,346.31,352.66
2017-11-30 22:17:44.511000,L8,342.13,346.53
2017-12-16 22:17:46.727000,L8,342.04,346.89
2018-02-02 22:17:27.894000,L8,318.46,209.14
2018-02-18 22:17:22.771000,L8,421.80,384.69
2018-04-07 22:16:59.037000,L8,348.67,354.98
2018-05-09 22:16:40.331000,L8,346.43,353.73
2018-05-25 22:16:28.178000,L8,338.56,341.57
2018-06-10 22:16:26.226000,L8,379.36,388.81
2018-06-26 22:16:36.823000,L8,337.51,342.16
2018-11-17 22:17:31.986000,L8,347.43,353.35
2018-12-03 22:17:30.217000,L8,329.65,296.48
2018-12-19 22:17:28.292000,L8,350.17,355.52
2019-01-04 22:17:27.803000,L8,336.00,337.02
2019-02-05 22:17:21.574000,L8,350.07,355.46
2019-03-25 22:17:09.739000,L8,337.94,345.44
2019-04-26 22:16:59.330000,L8,349.32,354.70
2019-05-12 22:17:08.680000,L8,434.71,405.74
2019-05-28 22:17:17.913000,L8,350.86,356.27
2019-06-29 22:17:29.720000,L8,335.20,330.35
2019-07-31 22:17:38.893000,L8,334.81,312.47
2019-08-16 22:17:44.396000,L8,358.56,386.16
2019-11-04 22:17:58.697000,L8,347.51,353.45
2019-11-20 22:17:54.950000,L8,293.44,340.85
2019-12-06 22:17:54.623000,L8,337.48,342.57
2019-12-22 22:17:51.823000,L8,335.28,337.04
2020-01-07 22:17:47.735000,L8,333.91,340.87
2020-02-08 22:17:38.924000,L8,356.70,359.64
2020-02-24 22:17:35.189000,L8,396.38,379.36
2020-03-11 22:17:28.877000,L8,351.51,357.90
2020-03-27 22:17:20.128000,L8,349.59,356.38
2020-04-28 22:17:04.952000,L8,331.63,330.88
2020-07-01 22:17:22.957000,L8,333.73,309.86
2020-08-02 22:17:33.048000,L8,333.36,320.63
2020-09-03 22:17:46.393000,L8,338.86,343.55
2021-01-25 22:17:44.203000,L8,351.45,355.52
2021-04-15 22:17:16.883000,L8,201.60,336.99
2021-05-01 22:17:07.841000,L8,349.59,355.44
2021-05-17 22:17:12.707000,L8,354.08,359.60
2021-06-18 22:17:27.030000,L8,351.77,359.07
2021-07-04 22:17:29.944000,L8,330.20,324.75
2021-10-24 22:18:01.850000,L8,332.70,340.26
2021-11-09 22:17:58.951000,L8,355.79,359.14
2021-12-19 22:17:52.616000,L9,343.40,353.89
