dates,satname,nzd0230-0000,nzd0230-0001,nzd0230-0002,nzd0230-0003,nzd0230-0004,nzd0230-0005,nzd0230-0006,nzd0230-0007,nzd0230-0008,nzd0230-0009,nzd0230-0010,nzd0230-0011,nzd0230-0012,nzd0230-0013,nzd0230-0014,nzd0230-0015,nzd0230-0016,nzd0230-0017,nzd0230-0018,nzd0230-0019,nzd0230-0020,nzd0230-0021,nzd0230-0022,nzd0230-0023,nzd0230-0024,nzd0230-0025,nzd0230-0026,nzd0230-0027,nzd0230-0028,nzd0230-0029,nzd0230-0030,nzd0230-0031,nzd0230-0032,nzd0230-0033,nzd0230-0034,nzd0230-0035,nzd0230-0036,nzd0230-0037,nzd0230-0038,nzd0230-0039,nzd0230-0040,nzd0230-0041,nzd0230-0042,nzd0230-0043,nzd0230-0044,nzd0230-0045,nzd0230-0046,nzd0230-0047,nzd0230-0048,nzd0230-0049,nzd0230-0050,nzd0230-0051,nzd0230-0052,nzd0230-0053,nzd0230-0054,nzd0230-0055,nzd0230-0056,nzd0230-0057,nzd0230-0058,nzd0230-0059
1999-09-22 21:46:36.849000,L7,382.24,389.75,405.31,384.03,405.34,388.28,423.48,406.82,392.50,405.56,402.36,396.17,399.62,446.08,437.54,453.90,425.73,418.07,399.41,391.03,399.92,402.85,401.30,406.07,394.91,418.70,415.80,373.75,367.40,366.28,360.89,363.60,403.33,365.05,382.07,375.55,425.18,420.78,435.04,472.51,436.64,374.45,361.99,350.97,349.28,359.25,383.04,408.43,418.77,423.88,431.74,440.05,450.36,442.22,393.64,398.73,390.31,449.16,413.28,386.82
1999-09-29 21:52:52.243000,L7,369.95,367.37,368.42,376.52,378.74,378.93,379.66,364.59,365.51,367.78,369.99,375.87,379.95,378.57,380.57,385.95,394.64,386.08,375.29,377.63,377.86,391.41,389.87,379.50,379.60,384.21,383.39,371.69,367.24,368.94,373.33,366.85,390.87,385.52,423.51,366.60,404.74,397.92,409.74,424.97,388.65,382.04,387.20,377.60,376.39,403.41,389.79,417.95,407.47,425.49,418.11,434.26,441.63,417.89,384.82,375.75,,,400.22,373.45
1999-10-15 21:52:49.322000,L7,364.73,360.24,355.56,359.73,359.40,356.43,354.63,355.35,358.02,362.94,366.51,370.80,369.40,374.87,369.68,365.56,364.03,365.54,371.72,386.10,382.95,374.20,394.93,376.83,359.78,362.41,367.55,362.62,367.77,358.87,356.92,360.36,366.33,382.56,392.68,409.11,380.78,386.82,379.47,374.28,376.22,385.16,383.89,373.39,370.37,411.89,438.42,493.59,505.61,532.97,,489.16,252.32,415.87,385.62,396.51,275.16,,400.97,379.37
1999-10-24 21:46:32.266000,L7,399.59,397.87,398.81,389.99,393.52,399.55,387.42,387.88,392.13,394.43,396.00,402.28,398.08,409.83,423.49,418.55,407.12,389.10,395.39,410.36,412.21,409.06,436.05,434.05,410.89,385.49,381.95,381.95,370.80,371.41,383.79,380.74,377.93,393.86,388.36,407.62,399.12,389.15,402.35,378.36,363.85,369.39,356.93,359.25,355.51,375.48,388.18,408.92,417.45,426.97,427.67,424.00,428.01,414.22,380.70,408.67,355.45,245.99,410.58,375.17
2000-02-04 21:52:37.377000,L7,,,,,,,,,,,212.97,249.12,252.93,229.66,223.77,169.57,219.10,247.29,243.93,235.15,240.91,233.79,209.77,199.90,189.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-20 21:52:29.720000,L7,,,,,,,,,,,230.93,248.43,205.58,,,,,,,229.68,228.49,222.97,199.29,199.89,193.32,209.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-16 21:46:15.139000,L7,,,,,,,,,,,,234.21,196.30,,,,,,,223.77,224.15,213.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-03 21:45:55.224000,L7,,,,,199.59,244.57,248.40,258.46,235.66,,,,,,,,,,239.05,224.30,233.80,231.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-26 21:51:48.668000,L7,400.94,404.76,405.82,396.29,394.56,393.29,383.80,381.23,379.84,382.48,397.11,396.75,413.23,389.12,386.19,390.53,399.70,382.98,383.47,370.70,385.85,390.57,375.24,371.06,369.59,384.01,374.38,367.04,365.00,380.69,361.83,357.88,363.97,363.49,366.41,363.60,370.12,367.13,378.10,367.64,363.81,363.12,365.58,370.49,363.53,374.08,381.47,377.07,363.87,369.57,366.12,386.23,409.60,423.78,399.65,388.45,304.19,247.69,369.47,353.34
2000-08-07 21:44:45.034000,L7,544.89,485.51,494.11,442.96,405.66,385.09,391.86,421.77,399.97,386.46,411.33,404.09,407.23,405.00,395.02,394.28,411.05,417.33,403.99,433.40,403.40,407.18,393.59,376.87,358.55,386.41,402.30,380.43,386.92,375.21,374.46,375.86,375.06,367.62,385.95,388.70,385.06,388.19,374.98,375.84,364.05,362.03,362.59,365.73,360.34,355.01,357.74,362.39,352.32,341.46,348.94,418.65,436.44,442.43,477.82,484.48,263.03,380.62,343.97,320.11
