dates,satname,nzd0457-0000,nzd0457-0001,nzd0457-0002,nzd0457-0003,nzd0457-0005,nzd0457-0006,nzd0457-0007,nzd0457-0008,nzd0457-0009,nzd0457-0010,nzd0457-0011,nzd0457-0012,nzd0457-0013,nzd0457-0014,nzd0457-0015,nzd0457-0018,nzd0457-0019,nzd0457-0020,nzd0457-0021,nzd0457-0022,nzd0457-0023,nzd0457-0024,nzd0457-0025,nzd0457-0026,nzd0457-0027,nzd0457-0028,nzd0457-0029,nzd0457-0030,nzd0457-0031,nzd0457-0032,nzd0457-0033,nzd0457-0034,nzd0457-0035,nzd0457-0036,nzd0457-0037,nzd0457-0038,nzd0457-0039,nzd0457-0040,nzd0457-0041,nzd0457-0042,nzd0457-0043,nzd0457-0044,nzd0457-0045,nzd0457-0046,nzd0457-0047,nzd0457-0048,nzd0457-0049,nzd0457-0050,nzd0457-0051,nzd0457-0052,nzd0457-0053,nzd0457-0064,nzd0457-0065,nzd0457-0066,nzd0457-0067,nzd0457-0068,nzd0457-0069,nzd0457-0070,nzd0457-0071,nzd0457-0072,nzd0457-0073,nzd0457-0074,nzd0457-0075,nzd0457-0076,nzd0457-0077,nzd0457-0078,nzd0457-0079,nzd0457-0080,nzd0457-0081,nzd0457-0082,nzd0457-0083,nzd0457-0084,nzd0457-0085,nzd0457-0086,nzd0457-0087,nzd0457-0088,nzd0457-0089,nzd0457-0090,nzd0457-0091,nzd0457-0092,nzd0457-0093,nzd0457-0094,nzd0457-0095,nzd0457-0096,nzd0457-0097,nzd0457-0098,nzd0457-0099,nzd0457-0100,nzd0457-0101,nzd0457-0111,nzd0457-0112,nzd0457-0113,nzd0457-0114,nzd0457-0115,nzd0457-0120,nzd0457-0121,nzd0457-0122,nzd0457-0123,nzd0457-0124,nzd0457-0125,nzd0457-0126,nzd0457-0127,nzd0457-0128,nzd0457-0129,nzd0457-0130,nzd0457-0131,nzd0457-0132,nzd0457-0133,nzd0457-0134,nzd0457-0135,nzd0457-0136,nzd0457-0137,nzd0457-0138,nzd0457-0142,nzd0457-0143,nzd0457-0144,nzd0457-0145,nzd0457-0146,nzd0457-0147,nzd0457-0148,nzd0457-0149,nzd0457-0150,nzd0457-0151,nzd0457-0152,nzd0457-0156,nzd0457-0157,nzd0457-0158,nzd0457-0159,nzd0457-0160,nzd0457-0161,nzd0457-0162,nzd0457-0163,nzd0457-0164,nzd0457-0165,nzd0457-0166,nzd0457-0167,nzd0457-0168,nzd0457-0169,nzd0457-0170,nzd0457-0171,nzd0457-0172,nzd0457-0173,nzd0457-0174,nzd0457-0175,nzd0457-0176,nzd0457-0177,nzd0457-0184,nzd0457-0185,nzd0457-0186,nzd0457-0187,nzd0457-0188,nzd0457-0189,nzd0457-0190,nzd0457-0191,nzd0457-0197,nzd0457-0198,nzd0457-0199,nzd0457-0200,nzd0457-0201,nzd0457-0202,nzd0457-0203,nzd0457-0204,nzd0457-0205,nzd0457-0206,nzd0457-0207,nzd0457-0208,nzd0457-0209,nzd0457-0210,nzd0457-0211,nzd0457-0004,nzd0457-0016,nzd0457-0017,nzd0457-0054,nzd0457-0055,nzd0457-0056,nzd0457-0057,nzd0457-0058,nzd0457-0059,nzd0457-0060,nzd0457-0061,nzd0457-0062,nzd0457-0063,nzd0457-0102,nzd0457-0103,nzd0457-0104,nzd0457-0105,nzd0457-0106,nzd0457-0107,nzd0457-0108,nzd0457-0109,nzd0457-0110,nzd0457-0116,nzd0457-0117,nzd0457-0118,nzd0457-0119,nzd0457-0139,nzd0457-0140,nzd0457-0141,nzd0457-0153,nzd0457-0154,nzd0457-0155,nzd0457-0178,nzd0457-0179,nzd0457-0180,nzd0457-0181,nzd0457-0182,nzd0457-0183,nzd0457-0192,nzd0457-0193,nzd0457-0194,nzd0457-0195,nzd0457-0196,nzd0457-0212,nzd0457-0213,nzd0457-0214,nzd0457-0215,nzd0457-0216,nzd0457-0217,nzd0457-0218,nzd0457-0219,nzd0457-0220,nzd0457-0221,nzd0457-0222,nzd0457-0223,nzd0457-0224,nzd0457-0225
1999-08-26 22:07:08.722000,L7,,,,,,,,,,,,,,,,,,,,,,333.59,335.14,332.85,335.57,330.58,,,,,,,341.76,338.87,337.31,325.83,,,,,,,,345.86,348.87,346.48,349.96,244.12,,195.24,248.67,313.83,329.59,,,,314.79,,,,,,,,309.65,272.78,250.55,243.00,239.02,180.79,218.06,,,,,,,,,330.47,321.88,327.14,351.48,248.59,343.84,345.54,342.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.51,248.48,195.97,,,238.68,314.10,305.26,317.58,317.21,328.50,,189.17,226.25,300.13,183.50,,,,,,,,,,,,,,,297.54,302.16,,,,,,,,,,,,,,,,,339.70,355.20,300.10,,,256.24,311.93,163.22,,198.00,,,224.23,317.73,330.83,331.26,,,,,,,,,,,,285.69,277.40,,,,,,,,,,,236.31,,,,,,,,,,,,,,
1999-09-27 22:07:12.757000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.01,419.52,417.93,389.57,421.44,,,,,,,,,523.82,474.29,460.04,453.08,408.54,409.26,407.22,407.38,398.52,395.90,398.27,389.23,390.45,393.91,388.54,385.10,392.82,405.16,452.63,400.91,399.14,392.65,402.72,396.11,400.52,393.28,396.28,396.43,400.34,392.27,402.70,406.52,401.98,363.73,358.73,359.99,357.68,363.18,354.45,338.33,308.50,327.54,315.82,340.07,339.72,348.63,318.14,310.25,308.82,340.07,366.78,360.17,368.08,363.34,363.88,360.68,363.15,163.19,373.72,367.08,323.74,358.16,331.73,352.24,334.25,324.20,326.05,342.59,365.40,303.64,234.35,206.48,234.08,272.02,360.96,353.47,360.05,368.83,375.19,368.47,367.68,358.25,354.56,343.13,342.97,341.11,344.65,345.51,345.78,349.37,321.89,330.23,335.46,337.04,343.02,337.75,344.33,334.70,344.59,337.17,338.71,348.84,305.46,332.61,336.14,312.41,290.06,,149.46,232.07,218.45,333.46,302.94,,,,,,,,,,,,,,399.59,402.47,408.14,400.16,390.23,390.29,384.94,392.58,377.36,357.90,370.71,367.79,363.35,370.53,325.62,203.52,335.72,344.70,328.33,339.65,341.74,334.65,315.75,320.95,314.59,335.64,333.55,333.68,285.29,341.04,294.64,290.27,291.72,310.17,338.71,342.60,345.90,375.12,360.55,215.91,262.89,295.55,252.13,
1999-10-13 22:07:12.582000,L7,,,,,,,,,,,,,,,,,,,,,,,195.22,182.11,327.07,327.11,320.57,330.74,328.95,319.15,268.19,,,,,,,,,,,,,,,,,,,,302.28,,,,,,,,,227.53,244.33,235.02,228.99,,,,,,,,,250.22,259.96,276.07,277.55,304.41,303.79,301.09,303.64,327.68,316.07,289.74,321.78,186.50,278.32,285.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.71,279.04,319.68,,,,,,,,,,,,,,,,,,,,279.98,302.84,203.30,,,,,,,,,,,,,,,,342.82,,,,,328.91,344.57,346.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.61,,,,,,,,,,,,,,
1999-11-30 22:06:59.059000,L7,,,,,,,,,,,,,,,,,,,,,,328.82,328.44,327.98,329.15,327.78,313.19,322.31,322.80,312.58,245.31,337.08,335.91,334.42,336.49,329.95,,,,,,,,,,267.66,274.74,329.32,,254.04,246.72,262.37,330.55,,276.55,313.52,,,291.27,316.08,279.36,,,,,,,,,,,320.50,323.22,318.17,328.72,333.87,338.52,343.71,342.99,336.11,321.80,321.93,349.75,350.67,350.38,352.59,349.50,341.43,330.88,151.36,,169.78,269.42,292.24,,174.40,228.32,249.49,258.38,285.97,297.23,293.16,,,,,219.31,236.36,305.71,309.13,320.24,312.33,313.54,,,,,204.48,260.84,301.28,262.52,264.65,263.56,303.57,268.61,245.28,177.29,172.07,153.80,244.73,316.72,296.31,290.11,314.54,320.48,315.75,278.22,282.46,302.93,201.30,227.07,200.01,279.81,177.21,,,,,,283.54,290.70,298.78,301.40,305.73,,,,,,,,,,,,,,,,,,,217.79,200.30,176.25,267.90,326.65,,,,,328.51,326.35,338.48,338.18,337.25,334.85,334.15,328.44,287.36,194.43,293.31,197.20,,,298.00,221.39,,270.81,273.10,290.03,,,,,,,299.60,297.56,296.50,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,,,,,,,,,,,,,,,,,,,,,,330.12,330.70,328.16,330.00,324.63,,305.08,292.34,285.31,,,,293.24,328.90,329.86,,,,,,,,,180.64,255.45,303.33,316.65,,,,,223.02,243.08,255.96,248.02,257.14,231.48,,,,,,,302.14,301.40,,264.98,192.91,,,,,,,,,,,,,,,,,,341.28,341.78,329.19,166.21,,178.80,263.04,287.79,280.81,209.68,233.05,248.06,245.82,278.27,294.19,285.35,,,,,219.07,197.06,271.65,272.42,311.27,308.64,309.73,,,,163.70,159.20,234.34,213.01,229.22,231.42,210.77,,,,,,,,,197.77,291.20,311.96,299.90,,,,,,,,,,,,252.44,265.01,295.55,289.96,283.56,,,,296.15,301.82,213.44,273.27,171.22,,,,,,,,,,,,,,,,,,,337.20,340.20,339.13,,,321.81,336.86,341.74,338.93,334.21,333.16,324.72,291.69,204.55,290.09,288.29,266.37,297.13,281.35,,,,,,,,,,,,282.80,283.95,,,225.50,,,,,,,,,,,,,,
2000-03-21 22:06:49.022000,L7,,,,,,,,172.98,277.36,332.10,351.87,361.19,360.44,339.85,341.82,364.14,370.85,376.40,380.73,378.65,384.63,382.43,382.42,375.05,382.41,375.62,376.69,371.90,374.77,366.42,377.33,373.09,376.50,376.48,375.83,372.09,363.72,291.54,305.69,309.16,319.17,321.24,379.09,382.46,381.44,387.81,386.35,384.60,391.59,386.37,381.59,390.72,391.78,390.50,396.40,393.48,390.17,389.53,383.28,389.61,386.01,384.31,388.83,380.29,384.61,379.03,371.27,387.21,386.92,387.74,387.88,387.57,388.72,388.19,386.62,386.42,384.58,385.45,388.54,391.54,388.81,385.82,383.73,382.96,387.05,395.69,391.25,396.77,393.58,347.57,341.88,339.15,344.20,344.47,341.02,332.39,331.71,334.53,341.90,342.40,351.84,357.23,350.61,345.26,349.91,362.53,376.22,380.53,383.98,384.18,385.28,385.05,383.08,170.08,386.98,379.99,378.71,379.61,356.31,374.40,361.23,337.67,347.84,361.45,382.43,375.84,366.24,369.22,360.63,347.28,377.07,373.27,380.50,382.09,386.35,380.43,372.71,373.23,363.82,352.98,354.87,362.25,357.64,353.66,351.75,348.48,338.76,346.35,365.22,346.14,357.16,346.91,356.51,361.35,380.17,366.02,359.37,344.46,314.01,325.76,336.61,327.45,300.23,,209.91,254.11,337.01,330.10,309.90,,349.83,354.04,381.33,384.43,381.15,383.32,382.44,389.05,389.36,386.39,392.71,389.92,394.88,397.41,393.31,394.93,386.99,385.24,376.70,372.72,366.72,342.02,349.04,340.19,351.41,362.94,327.52,218.89,348.93,390.05,372.57,349.06,353.27,347.36,324.68,332.22,351.06,348.86,347.83,347.42,359.44,361.83,299.48,294.94,290.23,315.20,340.31,356.44,369.48,383.24,364.10,264.89,295.56,306.95,267.45,
2000-05-08 22:06:20.956000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,208.96,329.98,329.72,314.40,274.41,,,,,,,302.59,316.41,317.71,327.04,328.04,,288.21,267.51,289.70,330.65,316.87,,,,,,,,,,,,,,,,,,,,,,,,,,,302.70,316.41,320.41,263.80,,,,,275.99,340.32,339.00,339.63,274.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.70,189.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.76,199.35,248.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-24 22:06:10.472000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,330.04,334.60,329.94,322.70,279.34,,325.13,289.08,317.78,328.88,223.18,317.09,326.49,327.16,334.75,334.46,313.59,339.05,336.47,341.15,336.91,341.88,,,,,,,,,260.93,,,,,,,,,,,,,,,214.71,281.54,312.35,309.83,323.36,325.41,335.44,327.84,277.52,,,333.82,347.39,345.59,344.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.69,254.96,275.36,192.04,,,253.76,268.06,280.20,303.39,285.79,257.77,,,,,,,,,,,,,,,,,,,,,,,,,,169.25,325.71,323.27,319.22,315.69,,,,,,,,,,,,,,,,,,,,281.13,,,,226.07,,,,,,,,,,,,,,
2000-07-11 22:05:41.532000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.07,339.41,334.89,338.77,334.98,250.27,319.84,328.17,331.27,332.45,334.07,311.02,338.52,333.77,338.36,332.37,329.83,,,,,,,,,,,,,,,,,,249.14,251.71,200.14,204.15,,,312.25,314.60,313.43,312.03,320.73,149.79,,332.24,340.43,332.61,332.82,327.42,340.28,247.99,,269.07,332.41,307.27,,,,,,,,,202.73,204.35,231.55,230.69,,,,,,,,,,,,,,,264.93,279.64,284.06,281.59,278.30,263.27,267.86,237.00,251.86,,,,,,234.70,309.83,309.78,316.58,296.77,162.18,247.69,291.67,317.76,300.25,200.55,,,,,,,274.38,283.59,294.36,231.44,,295.44,298.46,298.58,300.71,302.42,287.07,270.04,,,,,,,,,,,,,,,,,,,,,,,,,163.77,261.24,325.28,319.34,323.50,316.21,212.32,,,,,,,,,,271.07,254.04,193.95,311.99,311.02,302.67,,,198.61,301.99,302.85,285.99,229.32,231.95,,,,,,,,,,,,,,
2000-07-27 22:05:24.302000,L7,,,,,,,,,,,,,,,,,,,,,,338.42,339.68,342.16,331.48,322.33,,,,,,345.02,341.47,288.48,341.65,343.56,256.55,326.58,336.45,337.03,341.43,343.85,328.73,341.61,346.75,345.13,347.33,345.45,,,,,,,,,,,,,,,,,,248.17,270.21,262.54,,,,220.66,284.09,151.51,,,,,340.11,343.71,336.66,338.69,339.36,347.81,164.50,227.71,242.74,331.43,329.22,,,,,,,,,201.49,239.51,271.47,264.49,203.19,,,,,,,,,,,,,,154.78,235.85,231.11,282.82,285.68,268.30,269.10,274.17,275.43,177.52,205.26,167.58,,,237.22,298.72,288.07,308.05,302.53,310.53,212.74,239.66,315.80,,,,,,,,,257.58,277.22,159.51,,,280.34,288.37,295.67,271.71,302.52,302.28,267.84,,,,,,,,,,,,,,,,,,,,248.26,259.42,331.40,,,258.67,297.74,271.60,316.49,318.95,310.83,,,,,,,,,,,204.75,272.77,203.26,,,,,,,295.76,292.67,286.95,,217.61,,,,,,,,,,,,,,
