dates,satname,nzd0530-0000,nzd0530-0003,nzd0530-0004,nzd0530-0005,nzd0530-0006,nzd0530-0007,nzd0530-0008,nzd0530-0009,nzd0530-0010,nzd0530-0011,nzd0530-0012,nzd0530-0013,nzd0530-0014,nzd0530-0015,nzd0530-0016,nzd0530-0017,nzd0530-0018,nzd0530-0020,nzd0530-0021,nzd0530-0022,nzd0530-0023,nzd0530-0024,nzd0530-0025,nzd0530-0026,nzd0530-0027,nzd0530-0029,nzd0530-0030,nzd0530-0031,nzd0530-0032,nzd0530-0033,nzd0530-0034,nzd0530-0035,nzd0530-0036,nzd0530-0037,nzd0530-0038,nzd0530-0039,nzd0530-0040,nzd0530-0041,nzd0530-0042,nzd0530-0045,nzd0530-0046,nzd0530-0047,nzd0530-0048,nzd0530-0049,nzd0530-0050,nzd0530-0051,nzd0530-0052,nzd0530-0053,nzd0530-0054,nzd0530-0055,nzd0530-0056,nzd0530-0057,nzd0530-0058,nzd0530-0059,nzd0530-0060,nzd0530-0061,nzd0530-0062,nzd0530-0063,nzd0530-0067,nzd0530-0068,nzd0530-0069,nzd0530-0070,nzd0530-0071,nzd0530-0072,nzd0530-0073,nzd0530-0074,nzd0530-0075,nzd0530-0076,nzd0530-0077,nzd0530-0079,nzd0530-0080,nzd0530-0081,nzd0530-0082,nzd0530-0083,nzd0530-0084,nzd0530-0085,nzd0530-0086,nzd0530-0094,nzd0530-0095,nzd0530-0096,nzd0530-0097,nzd0530-0098,nzd0530-0099,nzd0530-0100,nzd0530-0101,nzd0530-0102,nzd0530-0103,nzd0530-0104,nzd0530-0105,nzd0530-0001,nzd0530-0002,nzd0530-0019,nzd0530-0078,nzd0530-0087,nzd0530-0088,nzd0530-0089,nzd0530-0090,nzd0530-0091,nzd0530-0092,nzd0530-0111,nzd0530-0112,nzd0530-0113,nzd0530-0118,nzd0530-0119,nzd0530-0120,nzd0530-0121,nzd0530-0122,nzd0530-0123,nzd0530-0124,nzd0530-0125,nzd0530-0126,nzd0530-0127,nzd0530-0128,nzd0530-0110,nzd0530-0114,nzd0530-0115,nzd0530-0116,nzd0530-0117,nzd0530-0028,nzd0530-0043,nzd0530-0044,nzd0530-0064,nzd0530-0093,nzd0530-0106,nzd0530-0107,nzd0530-0108,nzd0530-0109,nzd0530-0129,nzd0530-0130,nzd0530-0131,nzd0530-0132,nzd0530-0133,nzd0530-0134,nzd0530-0135,nzd0530-0136,nzd0530-0137,nzd0530-0138,nzd0530-0065,nzd0530-0066
1999-08-08 22:19:52.507000,L7,215.20,370.88,353.47,372.47,365.20,364.40,367.04,199.36,268.65,244.39,247.08,282.49,271.24,330.12,310.87,315.56,347.29,343.91,329.16,288.38,240.36,240.50,270.60,269.48,253.78,321.95,299.51,309.38,311.67,316.31,364.48,354.28,356.84,356.09,314.97,330.39,321.21,311.88,315.30,288.49,309.13,302.40,215.85,261.30,268.31,285.03,240.25,261.55,188.55,199.78,239.73,377.49,376.99,379.15,245.14,313.78,399.33,315.01,326.51,452.99,476.60,453.43,438.58,430.11,481.09,478.70,283.79,327.92,335.79,421.16,388.89,342.22,376.85,366.55,370.22,371.16,363.95,396.81,423.62,414.76,409.88,397.67,389.02,401.04,390.41,386.60,388.01,383.40,367.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-27 22:19:51.122000,L7,,,,450.54,446.38,298.37,439.94,360.24,446.11,390.10,179.04,179.69,231.61,249.97,259.11,265.32,163.14,482.56,502.15,477.64,478.33,278.10,300.76,298.81,234.36,443.54,455.84,456.98,458.82,466.26,458.72,,,,,247.26,270.93,244.71,440.19,430.34,449.86,461.52,483.38,438.56,208.37,286.01,270.25,263.04,,,,501.70,515.57,409.96,424.09,451.20,454.09,452.03,484.18,520.63,,,,,498.49,489.58,294.75,289.49,197.10,276.19,279.56,267.66,267.81,246.46,205.02,220.86,358.99,427.92,440.29,438.53,436.84,420.87,413.87,412.26,407.29,408.20,397.44,396.37,383.45,,,410.52,477.79,359.26,366.75,351.90,292.61,354.05,384.71,368.01,361.63,347.51,336.96,335.09,337.97,337.52,333.22,332.18,325.36,317.14,328.12,325.42,317.22,374.09,332.56,320.31,339.59,342.15,416.06,229.46,166.56,441.36,399.34,354.75,378.86,389.05,386.93,331.43,323.39,324.90,317.65,310.86,308.83,300.55,291.23,290.08,281.20,238.36,463.62
1999-11-05 22:13:40.966000,L7,,,,,,,,,,,,518.86,522.63,516.95,505.76,496.66,417.65,488.83,509.12,524.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:13:35.965000,L7,,520.71,521.43,519.38,501.63,470.38,464.43,463.25,423.43,273.46,275.96,390.99,402.10,403.82,525.33,,429.61,,,301.11,379.85,344.27,328.27,189.04,154.68,366.40,303.37,354.97,360.87,517.93,480.75,448.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.73,382.50,336.57,303.57,140.60,,,,385.71,359.85,145.48,468.75,463.19,482.82,,,,,,,,,,,,,,,,522.53,328.50,,,,,,,,,,514.83,427.15,428.56,432.12,403.58,495.14,,,,,,472.12,,329.50,472.71,433.53,395.74,,,,,,,,,,462.09,483.26,490.76,446.99,464.37,480.96,,,,,,
1999-12-07 22:13:41.663000,L7,502.11,491.65,489.22,499.56,488.77,488.53,492.26,494.74,498.46,494.08,481.09,468.94,480.16,490.29,469.70,412.97,368.67,309.12,473.10,496.79,505.30,520.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.03,,,,,,460.47,466.22,441.43,,,,,,,,,,,,,495.59,492.20,323.30,308.84,478.05,491.73,503.19,504.63,502.60,505.53,262.47,236.86,245.80,219.99,220.10,218.44,211.42,205.63,185.80,199.50,200.53,198.52,189.85,191.30,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-30 22:19:45.690000,L7,,392.21,381.13,189.17,,,,,,,,156.02,210.58,209.28,195.51,223.67,213.53,,,,,,,,,,,,,,289.17,288.93,289.88,296.56,293.78,,,,,230.40,207.75,,,,,,,,,,,,,,,,,,,,,,,301.85,298.31,309.23,316.79,314.43,308.32,,,,,,,,,517.63,510.75,495.48,492.27,485.05,481.64,475.42,466.73,462.21,463.76,463.99,461.66,,338.89,,,,,,,,,401.28,391.56,380.31,372.36,368.16,375.74,380.33,386.02,393.35,392.62,382.70,377.73,376.90,369.76,412.12,373.61,359.21,368.66,373.37,,,205.83,,,445.58,444.33,432.45,422.04,365.40,359.00,356.77,350.79,348.51,342.61,334.80,331.76,326.37,315.65,,
2000-04-13 22:13:06.040000,L7,506.27,492.93,491.31,499.22,497.31,500.14,497.17,501.78,496.27,498.36,483.42,461.97,442.01,429.81,413.06,401.03,367.00,299.33,475.16,494.11,507.75,513.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.72,,,,,,,501.69,453.15,,,,,,,,,,,,,499.21,499.99,313.63,303.80,475.66,492.89,487.31,495.47,507.78,510.73,271.18,269.84,291.80,363.47,312.04,322.53,,,,438.27,319.35,315.15,323.16,,210.08,517.35,494.87,451.53,394.03,,,,,,,,,,,,,,,,,,,,,
2000-04-20 22:19:15.385000,L7,444.65,368.94,419.32,,,,,,,462.15,469.61,473.49,472.98,478.60,461.00,457.21,501.11,417.92,384.30,377.57,341.61,275.02,307.50,306.11,365.28,449.46,389.47,459.34,458.66,463.44,456.53,382.21,267.10,280.37,271.15,254.08,270.43,192.54,156.33,209.10,248.37,163.52,467.48,482.65,498.10,490.04,,,,,,346.41,344.39,357.47,498.46,501.55,493.75,493.11,,,,,,254.06,494.22,487.58,460.81,445.24,421.34,435.05,393.20,386.59,390.27,383.01,376.84,373.09,379.13,351.78,332.77,322.02,301.55,308.42,300.16,289.87,288.88,261.51,391.16,386.68,376.16,411.53,428.14,350.40,455.82,386.16,386.51,388.80,394.46,388.53,347.34,373.05,362.51,352.54,209.53,275.15,251.41,323.37,258.97,161.82,160.74,165.26,167.75,146.71,309.08,377.75,350.42,324.08,343.88,339.75,418.33,234.98,232.74,496.75,354.14,320.92,380.59,395.86,391.16,325.09,286.16,300.90,299.84,291.86,266.19,217.78,211.47,202.73,213.25,,
2000-05-22 22:18:57.481000,L7,442.72,,,480.15,508.60,333.20,304.08,,184.72,193.49,223.78,354.56,363.16,400.20,371.49,390.20,347.76,525.43,477.13,433.85,481.27,,,,,419.85,419.86,441.39,466.31,426.57,391.01,435.68,239.30,268.91,221.65,266.74,266.85,242.99,209.40,176.31,190.59,426.13,391.55,437.89,,,,,,,,,217.38,174.84,,,,,,,,,,,503.77,500.01,487.54,464.06,272.72,434.06,405.03,394.27,263.35,222.62,211.71,201.95,398.18,432.71,437.88,429.87,425.42,421.77,414.03,413.19,401.52,407.30,402.52,397.66,379.98,444.46,,183.92,463.62,404.81,404.04,250.96,277.47,172.65,416.09,368.84,364.87,350.91,168.43,198.11,181.14,143.28,,,,,,,,380.94,344.09,323.01,346.34,269.21,,215.37,171.59,373.65,411.09,341.48,398.09,399.65,391.02,,,,,,,,,,,372.88,352.78
2000-05-31 22:12:42.435000,L7,477.32,468.00,449.31,475.77,477.31,477.42,471.38,481.38,479.13,475.54,450.17,429.64,392.85,413.65,399.31,380.47,341.10,279.89,229.74,262.16,482.96,493.87,508.94,523.01,,149.77,202.56,221.81,236.24,233.82,249.01,247.71,248.20,,,,,,,294.30,253.94,,,,,,,,,,,,,,,,,,,,,,,,,500.51,499.21,490.51,480.48,492.11,467.65,443.88,440.40,450.53,452.28,450.25,456.03,506.45,497.58,,,380.26,385.28,389.12,381.14,378.10,364.85,,,476.55,456.28,297.69,472.87,457.45,464.90,469.99,477.36,487.78,494.83,,,,,,,,,,,171.55,240.10,,,,,,,,,,266.85,,508.16,,,,,,,,,,,,,,,,
