dates,satname,nzd0114-0000,nzd0114-0001,nzd0114-0002,nzd0114-0003,nzd0114-0004,nzd0114-0005,nzd0114-0006,nzd0114-0007,nzd0114-0008,nzd0114-0009,nzd0114-0010,nzd0114-0011,nzd0114-0012,nzd0114-0013,nzd0114-0014,nzd0114-0020,nzd0114-0021,nzd0114-0029,nzd0114-0030,nzd0114-0031,nzd0114-0032,nzd0114-0023,nzd0114-0024,nzd0114-0025,nzd0114-0028,nzd0114-0033,nzd0114-0034,nzd0114-0035,nzd0114-0036,nzd0114-0037,nzd0114-0015,nzd0114-0016,nzd0114-0017,nzd0114-0022
2003-08-06 21:42:27.230000,L5,272.69,261.38,253.99,238.95,241.93,232.60,178.74,207.07,215.93,196.48,222.67,228.82,214.60,,,,,,,,,,,,,,,,,,,,,
2003-10-25 21:43:40.253000,L5,275.17,259.00,256.97,237.38,241.50,230.51,182.99,198.11,208.76,206.52,230.55,232.83,218.80,,,,,,,,,,,,,,,,,,,,,
2003-12-12 21:44:10.398000,L5,308.14,260.28,251.13,247.42,253.99,240.59,177.31,194.78,191.84,191.29,208.93,217.52,215.90,156.82,,,,,,,,,,,,,,,,,,,,
2004-02-14 21:44:33.705000,L5,254.59,246.44,249.76,241.12,243.08,239.95,205.21,215.87,213.75,210.08,220.78,217.36,205.04,,,,,,,,,,,,,,,,,,,,,
2004-03-01 21:44:38.581000,L5,271.16,247.76,245.45,235.87,244.43,229.37,190.50,205.77,209.13,200.99,222.29,229.88,203.50,,,,,,,,,,,,,,,,,,,,,
2004-04-18 21:45:25.586000,L5,267.65,257.92,256.96,252.22,256.14,245.86,193.71,204.27,207.72,195.71,220.99,222.32,212.29,154.31,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:48:09.192000,L5,264.37,251.79,249.91,247.51,252.91,239.77,185.03,208.94,213.47,201.32,218.08,229.67,217.84,,,,,,,,,,,,,,,,,,,,,
2004-09-09 21:49:19.975000,L5,264.64,250.93,243.49,238.30,247.57,233.13,189.91,202.97,204.28,197.55,218.39,222.94,204.12,,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:49:43.196000,L5,270.23,257.67,249.11,243.91,245.17,237.63,182.86,202.88,208.35,198.31,220.71,227.23,211.63,,,,,,,,,,,,,,,,,,,,,
2005-01-15 21:51:45.464000,L5,259.40,255.24,256.49,249.89,256.17,243.13,191.89,191.65,193.64,191.27,208.05,213.00,211.24,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:52:28.245000,L5,259.13,244.68,250.40,243.62,249.70,236.30,190.91,198.65,201.19,193.51,207.99,220.40,203.26,,,,,,,,,,,,,,,,,,,,,
